C_TERRITOIRE_ID;C_LBLTERRITOIRE;C_DEPARTEMENT_ID;C_LBLDEPARTEMENT;C_REGION_ID;C_LBLREGION;TX_ACCESM6;TX_PRESEMPM6;TX_ACCESM6_D;TX_PRESEMPM6_D;DELTA_TX_ACCESM6;DELTA_TX_PRESEMPM6;TERRITOIRE_PROCHE1;TERRITOIRE_PROCHE2;TERRITOIRE_PROCHE3;TERRITOIRE_PROCHE4;TERRITOIRE_PROCHE5;TERRITOIRE_PROCHE6;TERRITOIRE_PROCHE7;TERRITOIRE_PROCHE8;TERRITOIRE_PROCHE9;TERRITOIRE_PROCHE10
CLPE14004;VIRE;14;CALVADOS;28;NORMANDIE;0.3646605912;0.24009831;0.3526477014;0.2345036914;0.0120128897;0.0055946186;CLPE27001;CLPE61001;CLPE28001;CLPE71002;CLPE42003;CLPE76001;CLPE41002;CLPE56002;CLPE72002;CLPE76003
CLPE15001;AURILLAC;15;CANTAL;84;AUVERGNE-RHÔNE-ALPES;0.3626053281;0.2391054558;0.3661521523;0.2443132362;-0.003546824;-0.00520778;CLPE19001;CLPE32002;CLPE40001;CLPE19002;CLPE50001;CLPE52002;CLPE39002;CLPE64002;CLPE79002;CLPE22003
CLPE15002;MAURIAC;15;CANTAL;84;AUVERGNE-RHÔNE-ALPES;0.3924623116;0.2761306533;0.3572447055;0.2371013858;0.0352176061;0.0390292674;CLPE15003;CLPE24004;CLPE24002;CLPE64001;CLPE32001;CLPE15001;CLPE32002;CLPE86002;CLPE46003;CLPE43001
CLPE15003;SAINT-FLOUR;15;CANTAL;84;AUVERGNE-RHÔNE-ALPES;0.3975227727;0.2673850255;0.3645960032;0.2448481223;0.0329267695;0.0225369033;CLPE48001;CLPE15002;CLPE24004;CLPE32002;CLPE32001;CLPE15001;CLPE12003;CLPE16004;CLPE43001;CLPE64001
CLPE16001;ANGOULÊME;16;CHARENTE;75;NOUVELLE-AQUITAINE;0.3174969411;0.207737575;0.3361458005;0.2236623786;-0.018648859;-0.015924804;CLPE18001;CLPE72001;CLPE71002;CLPE26001;CLPE60003;CLPE25001;CLPE28002;CLPE24003;CLPE82002;CLPE76002
CLPE16002;COGNAC;16;CHARENTE;75;NOUVELLE-AQUITAINE;0.3818113093;0.2468249168;0.3909989349;0.2584534983;-0.009187626;-0.011628582;CLPE49003;CLPE37002;CLPE26003;CLPE47002;CLPE79001;CLPE29004;CLPE21001;CLPE72003;CLPE79003;CLPE47001
CLPE16003;NORD CHARENTE;16;CHARENTE;75;NOUVELLE-AQUITAINE;0.2947493833;0.1938650513;0.3229416048;0.2114168922;-0.028192221;-0.017551841;CLPE37003;CLPE71003;CLPE61002;CLPE86002;CLPE24001;CLPE63002;CLPE17005;CLPE36003;CLPE23001;CLPE21004
CLPE16004;SUD CHARENTE;16;CHARENTE;75;NOUVELLE-AQUITAINE;0.3309799225;0.2160620292;0.3647546913;0.2384520413;-0.033774769;-0.022390012;CLPE47002;CLPE17001;CLPE86002;CLPE79003;CLPE32001;CLPE33007;CLPE22003;CLPE16002;CLPE49003;CLPE43001
CLPE17001;JONZAC;17;CHARENTE-MARITIME;75;NOUVELLE-AQUITAINE;0.3837143104;0.2500129388;0.362094586;0.233680441;0.0216197244;0.0163324979;CLPE33007;CLPE47002;CLPE16004;CLPE37002;CLPE86002;CLPE79003;CLPE22003;CLPE10001;CLPE51004;CLPE49003
CLPE17002;LA ROCHELLE;17;CHARENTE-MARITIME;75;NOUVELLE-AQUITAINE;0.375891282;0.258568252;0.3977614278;0.2690730923;-0.021870146;-0.01050484;CLPE40003;CLPE56001;CLPE29003;CLPE64003;CLPE56003;CLPE35003;CLPE33001;CLPE29001;CLPE86003;CLPE19001
